personId,season,firstName,lastName,guard,forward,center,gamesPlayed,points,assists,blocks,steals,reboundsTotal,turnovers,fieldGoalsAttempted,fieldGoalsMade,threePointersAttempted,threePointersMade,freeThrowsAttempted,freeThrowsMade,trueShootingAttempts,ts,fantasyPoints,br_id
165,1993,Hakeem,Olajuwon,0,0,1,82,26.09756097560976,3.548780487804878,4.170731707317073,1.829268292682927,13.024390243902438,3.1951219512195124,19.54878048780488,10.341463414634148,0.0975609756097561,0.0,6.951219512195122,5.414634146341464,22.60731707317073,0.577192793181573,68.5670731707317,
764,1992,David,Robinson,0,0,1,68,23.205882352941178,2.661764705882353,4.485294117647059,2.323529411764706,12.191176470588236,2.676470588235294,15.794117647058824,8.705882352941176,0.1176470588235294,0.0147058823529411,8.25,5.779411764705882,19.424117647058825,0.5973471427273553,67.36764705882354,
406,2000,Shaquille,O'Neal,0,0,1,79,29.670886075949365,3.784810126582279,3.0253164556962027,0.4556962025316455,13.645569620253164,2.8227848101265822,21.075949367088608,12.10126582278481,0.0126582278481012,0.0,10.430379746835444,5.468354430379747,25.665316455696203,0.5780346820809248,64.09493670886076,
893,1993,Michael,Jordan,1,0,0,78,32.57692307692308,5.487179487179487,0.782051282051282,2.833333333333333,6.6923076923076925,2.6538461538461537,25.67948717948718,12.717948717948715,2.948717948717949,1.0384615384615383,7.294871794871795,6.102564102564102,28.889230769230767,0.5638246884652254,60.000000000000014,
121,1991,Patrick,Ewing,0,0,1,81,26.59259259259259,3.0123456790123457,3.185185185185185,0.9876543209876544,11.17283950617284,3.592592592592593,20.30864197530864,10.432098765432098,0.074074074074074,0.0,7.691358024691358,5.728395061728395,23.69283950617284,0.5611947142440284,57.37654320987654,
787,1993,Charles,Barkley,0,1,0,76,25.57894736842105,5.065789473684211,0.9736842105263158,1.5657894736842106,12.210526315789474,3.0657894736842106,18.105263157894736,9.421052631578949,2.8947368421052637,0.881578947368421,7.657894736842105,5.855263157894737,21.474736842105266,0.5955590412234695,55.51973684210526,
252,1994,Karl,Malone,0,1,0,82,25.15853658536585,4.0,1.5365853658536586,1.524390243902439,11.46341463414634,2.8536585365853657,18.92682926829268,9.414634146341465,0.3902439024390244,0.0975609756097561,8.975609756097562,6.2317073170731705,22.87609756097561,0.5498869839645173,54.89024390243903,
185,2000,Chris,Webber,0,1,1,75,24.453333333333333,4.6,1.7066666666666668,1.6,10.493333333333334,2.9066666666666667,20.64,9.973333333333333,1.2666666666666666,0.36,5.52,4.1466666666666665,23.0688,0.530008785314653,54.50666666666667,
708,2000,Kevin,Garnett,0,1,0,81,22.925925925925927,4.950617283950617,1.5555555555555556,1.4814814814814814,11.802469135802468,3.308641975308642,18.839506172839503,9.37037037037037,1.0,0.3703703703703703,4.987654320987654,3.814814814814815,21.034074074074077,0.5449711226933371,53.58641975308642,
1495,2000,Tim,Duncan,0,1,1,74,23.18918918918919,3.1621621621621623,2.22972972972973,0.8918918918918919,12.405405405405403,3.27027027027027,17.31081081081081,8.486486486486486,0.1486486486486486,0.0135135135135135,8.14864864864865,6.202702702702703,20.896216216216217,0.5548657457706038,52.48648648648648,
937,1994,Scottie,Pippen,1,1,0,72,22.041666666666668,5.597222222222222,0.8055555555555556,2.930555555555556,8.73611111111111,3.2222222222222223,17.75,8.708333333333334,2.736111111111111,0.875,5.680555555555555,3.75,20.249444444444443,0.5442536146396335,52.04166666666667,
297,1999,Alonzo,Mourning,0,0,1,46,20.08695652173913,1.608695652173913,3.9130434782608696,0.7391304347826086,11.021739130434783,3.0217391304347827,13.76086956521739,7.043478260869565,0.0434782608695652,0.0,9.195652173913045,6.0,17.80695652173913,0.5640199238206856,51.59782608695652,
56,2000,Gary,Payton,1,0,0,82,24.170731707317078,8.926829268292684,0.2195121951219512,1.8658536585365852,6.451219512195122,2.731707317073171,20.317073170731707,9.109756097560975,6.341463414634147,2.158536585365854,5.158536585365853,3.792682926829268,22.58682926829268,0.5350625229466773,50.11585365853658,
149,1991,Michael,Adams,1,0,0,66,26.545454545454547,10.5,0.0909090909090909,2.227272727272727,3.878787878787879,3.636363636363636,21.53030303030303,8.484848484848484,8.545454545454545,2.5303030303030303,8.015151515151516,7.045454545454546,25.0569696969697,0.5297020123839009,50.11363636363637,adamsmi01
442,1992,Pervis,Ellison,0,0,1,66,20.03030303030303,2.878787878787879,2.6818181818181817,0.9393939393939394,11.212121212121213,2.9696969696969697,15.363636363636363,8.287878787878787,0.0454545454545454,0.0151515151515151,4.727272727272728,3.4393939393939394,17.443636363636365,0.57414356194844,49.71212121212122,
17,1992,Clyde,Drexler,1,0,0,76,25.039473684210527,6.7368421052631575,0.9210526315789472,1.8157894736842104,6.578947368421052,3.1578947368421053,19.42105263157895,9.13157894736842,4.447368421052632,1.5,6.644736842105263,5.276315789473684,22.344736842105263,0.5602991402661642,49.64473684210527,
686,1999,Antonio,McDyess,0,1,1,50,21.22,1.64,2.3,1.46,10.74,2.76,17.64,8.3,0.18,0.02,6.76,4.6,20.6144,0.5146887612542689,49.31,
255,1997,Grant,Hill,0,1,0,80,21.375,7.2875,0.6,1.8125,9.0125,3.2375,15.7375,7.8125,0.4125,0.125,7.9125,5.625,19.219,0.5560903272802955,48.99999999999999,
1122,1991,Dominique,Wilkins,0,1,0,81,25.938271604938272,3.271604938271605,0.8024691358024691,1.5185185185185186,9.037037037037036,2.4814814814814814,20.246913580246915,9.506172839506172,3.074074074074074,1.0493827160493827,7.08641975308642,5.876543209876544,23.364938271604935,0.5550682673204549,48.72222222222221,
934,1993,Derrick,Coleman,0,1,0,76,20.68421052631579,3.631578947368421,1.6578947368421053,1.2105263157894737,11.210526315789474,3.1973684210526314,16.13157894736842,7.421052631578948,1.3026315789473684,0.3026315789473684,6.855263157894737,5.539473684210527,19.147894736842105,0.5401170940875732,48.026315789473685,
896,1991,Tim,Hardaway,1,0,0,82,22.9390243902439,9.670731707317072,0.1463414634146341,2.609756097560976,4.048780487804878,3.292682926829268,18.914634146341463,9.01219512195122,3.073170731707317,1.1829268292682926,4.646341463414634,3.731707317073171,20.9590243902439,0.5472350230414746,47.95731707317073,hardati01
467,1999,Jason,Kidd,1,0,0,50,16.92,10.78,0.38,2.28,6.78,3.0,13.96,6.2,2.46,0.9,4.78,3.62,16.063200000000002,0.52666965486329,47.900000000000006,kiddja01
304,1991,John,Stockton,1,0,0,82,17.23170731707317,14.195121951219512,0.1951219512195122,2.8536585365853657,2.8902439024390243,3.634146341463415,11.926829268292684,6.048780487804878,2.048780487804878,0.7073170731707317,5.2926829268292686,4.426829268292683,14.255609756097565,0.6043833835203941,47.78658536585366,
1449,1991,Larry,Bird,0,1,0,60,19.4,7.183333333333334,0.9666666666666668,1.8,8.483333333333333,3.1166666666666667,16.95,7.7,3.3,1.2833333333333334,3.05,2.716666666666667,18.292,0.5302864640279904,47.73333333333333,
77685,1992,Larry,Nance,0,1,0,81,16.97530864197531,2.8641975308641974,3.0,0.9876543209876544,8.271604938271604,1.0740740740740742,12.74074074074074,6.864197530864198,0.074074074074074,0.0,3.950617283950617,3.246913580246914,14.479012345679012,0.5862039563437927,47.48148148148149,nancela01
431,1994,Shawn,Kemp,0,1,0,79,18.11392405063291,2.6202531645569622,2.1012658227848102,1.7974683544303798,10.772151898734178,3.278481012658228,12.531645569620252,6.746835443037975,0.050632911392405,0.0126582278481012,6.215189873417722,4.6075949367088604,15.26632911392405,0.5932639050114424,47.24050632911393,
87,1993,Dikembe,Mutombo,0,0,1,82,13.792682926829269,1.7926829268292683,3.5,0.524390243902439,13.048780487804878,2.6341463414634148,9.524390243902438,4.853658536585366,0.0,0.0,6.0,4.085365853658536,12.16439024390244,0.5669286602237639,46.88414634146342,
124,1995,Vlade,Divac,0,0,1,80,15.9625,4.1125,2.175,1.3625,10.3625,2.5625,11.9625,6.0625,0.6625,0.125,4.775,3.7125,14.0635,0.5675151989191879,46.7,
77142,1991,Magic,Johnson,1,1,0,79,19.37974683544304,12.518987341772153,0.2151898734177215,1.2911392405063291,6.974683544303797,3.974683544303797,12.354430379746836,5.89873417721519,3.1645569620253164,1.0126582278481011,7.253164556962025,6.569620253164557,15.545822784810127,0.6233104256913005,46.69620253164556,
788,1992,Kevin,Willis,0,1,1,81,18.271604938271604,2.135802469135802,0.6666666666666666,0.8888888888888888,15.530864197530864,2.432098765432099,15.11111111111111,7.296296296296297,0.4567901234567901,0.074074074074074,4.481481481481482,3.6049382716049374,17.082962962962963,0.5347902754892608,46.129629629629626,willike02
904,1992,Chris,Mullin,0,1,0,81,25.604938271604937,3.5308641975308643,0.7654320987654321,2.135802469135802,5.555555555555555,2.493827160493827,19.55555555555556,10.246913580246911,2.1604938271604937,0.7901234567901234,5.185185185185185,4.320987654320987,21.83703703703704,0.5862731795567615,45.85185185185185,
1713,2000,Vince,Carter,1,1,0,82,25.695121951219512,3.926829268292683,1.1219512195121952,1.3414634146341464,5.804878048780488,2.1707317073170733,20.682926829268293,9.609756097560975,2.8780487804878048,1.1585365853658536,6.719512195121951,5.317073170731708,23.639512195121952,0.5434782608695652,45.804878048780495,
952,1998,Antoine,Walker,0,1,0,82,22.4390243902439,3.3292682926829267,0.7317073170731707,1.7317073170731707,10.195121951219512,3.5609756097560976,20.79268292682927,8.804878048780488,3.5609756097560976,1.1097560975609757,5.7682926829268295,3.719512195121952,23.330731707317074,0.4808898553148782,45.457317073170735,
921,1992,Brad,Daugherty,0,0,1,73,21.45205479452055,3.589041095890411,1.0684931506849316,0.8904109589041096,10.41095890410959,2.5342465753424657,13.835616438356164,7.890410958904109,0.0273972602739726,0.0,7.301369863013699,5.671232876712328,17.048219178082192,0.6291582296789123,45.21917808219178,daughbr01
134,1991,Kevin,Johnson,1,0,0,77,22.20779220779221,10.142857142857142,0.1428571428571428,2.116883116883117,3.51948051948052,3.493506493506493,14.87012987012987,7.675324675324675,0.5714285714285714,0.1168831168831168,8.0,6.740259740259741,18.390129870129872,0.6037965029236461,44.75324675324674,
23,1992,Dennis,Rodman,0,1,0,82,9.75609756097561,2.3292682926829267,0.8536585365853658,0.8292682926829268,18.65853658536585,1.7073170731707317,7.7439024390243905,4.170731707317073,1.2317073170731707,0.3902439024390244,1.7073170731707317,1.024390243902439,8.495121951219513,0.5742176284811943,44.554878048780495,
