personId,season,firstName,lastName,guard,forward,center,gamesPlayed,points,assists,blocks,steals,reboundsTotal,turnovers,fieldGoalsAttempted,fieldGoalsMade,threePointersAttempted,threePointersMade,freeThrowsAttempted,freeThrowsMade,trueShootingAttempts,ts,fantasyPoints,br_id
708,2004,Kevin,Garnett,0,1,0,82,24.23170731707317,4.987804878048781,2.1707317073170733,1.4634146341463414,13.890243902439025,2.5853658536585367,19.646341463414632,9.804878048780488,0.524390243902439,0.1341463414634146,5.670731707317073,4.487804878048781,22.141463414634146,0.547202026878167,61.914634146341456,
406,2001,Shaquille,O'Neal,0,0,1,74,28.716216216216218,3.743243243243243,2.756756756756757,0.6351351351351351,12.702702702702704,2.945945945945946,19.216216216216218,10.986486486486486,0.027027027027027,0.0,13.135135135135137,6.743243243243243,24.99567567567568,0.5744236840967086,61.060810810810814,
2544,2010,LeBron,James,0,1,0,72,29.98611111111111,8.555555555555555,1.0,1.6666666666666667,7.263888888888889,3.4166666666666665,20.25,10.194444444444445,5.125,1.6944444444444444,10.23611111111111,7.902777777777778,24.753888888888888,0.6056848531095003,57.54861111111109,
1495,2003,Tim,Duncan,0,1,1,81,23.25925925925926,3.9012345679012346,2.925925925925926,0.6790123456790124,12.876543209876544,3.061728395061728,17.185185185185187,8.814814814814815,0.2716049382716049,0.074074074074074,7.827160493827161,5.555555555555555,20.629135802469136,0.5637477857040264,56.72222222222223,
185,2001,Chris,Webber,0,1,1,70,27.11428571428572,4.2,1.6857142857142855,1.3285714285714283,11.1,2.7857142857142856,23.357142857142858,11.228571428571428,0.4,0.0285714285714285,6.585714285714285,4.628571428571429,26.254857142857144,0.5163670395681887,56.55,
2548,2009,Dwyane,Wade,1,0,0,79,30.20253164556962,7.455696202531645,1.3417721518987342,2.189873417721519,5.037974683544304,3.4430379746835444,22.0126582278481,10.810126582278482,3.518987341772152,1.1139240506329111,9.759493670886076,7.468354430379747,26.30683544303797,0.5740434213565325,56.18354430379747,
1503,2003,Tracy,McGrady,1,1,0,75,32.093333333333334,5.48,0.7866666666666666,1.653333333333333,6.506666666666667,2.6,24.17333333333333,11.053333333333333,5.973333333333334,2.306666666666666,9.68,7.68,28.43253333333333,0.5643769578511002,54.63333333333333,
977,2003,Kobe,Bryant,1,1,0,82,30.01219512195122,5.865853658536586,0.8170731707317073,2.207317073170732,6.878048780487805,3.5121951219512195,23.463414634146343,10.585365853658535,3.951219512195122,1.5121951219512195,8.695121951219512,7.329268292682927,27.289268292682927,0.5498900666750085,54.20121951219512,
1890,2006,Shawn,Marion,1,1,0,81,21.839506172839503,1.7654320987654322,1.691358024691358,1.9753086419753083,11.839506172839506,1.5432098765432098,16.85185185185185,8.839506172839506,3.580246913580247,1.1851851851851851,3.679012345679012,2.9753086419753085,18.470617283950617,0.5911958933775366,53.82716049382716,mariosh01
1882,2006,Elton,Brand,0,1,0,79,24.72151898734177,2.632911392405063,2.5443037974683542,1.0253164556962024,10.0,2.189873417721519,18.16455696202532,9.569620253164556,0.0379746835443038,0.0126582278481012,7.189873417721519,5.569620253164557,21.328101265822784,0.5795527384089452,53.56962025316455,
