player_name,pid,has_nba_photo,basketball_reference_id,has_basketball_reference_photo,check_error
Evan Mobley,1630596,yes,,,
Franz Wagner,1630532,yes,,,
Fred VanVleet,1627832,yes,,,
Gary Payton,56,yes,,,
Gerald Wallace,2222,no,wallage01,yes,
Gheorghe Muresan,49,no,muresgh01,yes,
Giannis Antetokounmpo,203507,yes,,,
Gilbert Arenas,2240,yes,,,
Glen Rice,779,no,ricegl01,yes,
Glenn Robinson,299,no,robingl01,yes,
Goran Dragic,201609,yes,,,
Gordon Hayward,202330,yes,,,
Grant Hill,255,yes,,,
Grant Long,3,no,longgr01,yes,
Grayson Allen,1628960,yes,,,
Greg Monroe,202328,yes,,,
Hakeem Olajuwon,165,yes,,,
Harvey Grant,265,no,grantha01,yes,
Hassan Whiteside,202355,yes,,,
Hedo Turkoglu,2045,yes,,,
Hersey Hawkins,765,yes,,,
Horace Grant,270,no,grantho01,yes,
Hot Rod Williams,73,no,williho01,yes,
Immanuel Quickley,1630193,yes,,,
Isaiah Collier,1642268,yes,,,
Isaiah Hartenstein,1628392,yes,,,
Isaiah Rider,375,no,rideris01,yes,
Isaiah Thomas,202738,yes,,,
Isiah Thomas,78318,yes,,,
Ivica Zubac,1627826,yes,,,
Ja Morant,1629630,yes,,,
Jabari Parker,203953,yes,,,
Jabari Smith Jr.,1631095,yes,,,
Jaden McDaniels,1630183,yes,,,
Jaime Jaquez Jr.,1631170,yes,,,
Jakob Poeltl,1627751,yes,,,
Jalen Brunson,1628973,yes,,,
Jalen Duren,1631105,yes,,,
Jalen Green,1630224,yes,,,
Jalen Johnson,1630552,yes,,,
Jalen Rose,147,yes,,,
Jalen Suggs,1630591,yes,,,
Jalen Williams,1631114,yes,,,
Jamaal Magloire,2048,no,magloja01,yes,
Jamaal Tinsley,2224,yes,,,
Jamal Crawford,2037,yes,,,
Jamal Mashburn,469,no,mashbja01,yes,
Jamal Murray,1627750,yes,,,
James Harden,201935,yes,,,
James Worthy,1460,yes,,,
Jared Sullinger,203096,yes,,,
Jaren Jackson Jr.,1628991,yes,,,
Jarrett Allen,1628386,yes,,,
Jason Kidd,467,no,kiddja01,yes,
Jason Richardson,2202,no,richaja01,yes,
Jason Terry,1891,yes,,,
Jason Thompson,201574,yes,,,
Jason Williams,1715,yes,,,
Jay Huff,1630643,yes,,,
Jaylen Brown,1627759,yes,,,
Jaylon Tyson,1642281,yes,,,
Jayson Tatum,1628369,yes,,,
Jayson Williams,420,no,willija01,yes,
Jeff Green,201145,yes,,,
Jeff Hornacek,204,yes,,,
Jeff Teague,201952,yes,,,
Jerami Grant,203924,yes,,,
Jeremiah Fears,1642847,yes,,,
Jermaine O'Neal,979,no,onealje01,yes,
Jerome Kersey,760,no,kerseje01,yes,
Jerry Stackhouse,711,no,stackje01,yes,
Jim Jackson,754,yes,,,
Jimmy Butler,202710,yes,,,
Joakim Noah,201149,yes,,,
Joe Dumars,247,yes,,,
Joe Johnson,2207,yes,,,
Joe Smith,693,yes,,,
Joel Embiid,203954,yes,,,
John Collins,1628381,yes,,,
John Stockton,304,yes,,,
John Wall,202322,yes,,,
Jonas Valanciunas,202685,yes,,,
Jonathan Isaac,1628371,yes,,,
Jordan Poole,1629673,yes,,,
Josh Giddey,1630581,yes,,,
Josh Hart,1628404,yes,,,
Josh Howard,2572,yes,,,
Josh Smith,2746,yes,,,
Jrue Holiday,201950,yes,,,
Julian Champagnie,1630577,yes,,,
Julius Randle,203944,yes,,,
Jusuf Nurkic,203994,yes,,,
Juwan Howard,436,no,howarju01,yes,
Karl Malone,252,yes,,,
Karl-Anthony Towns,1626157,yes,,,
Kawhi Leonard,202695,yes,,,
Keegan Murray,1631099,yes,,,
Keith Van Horn,1496,yes,,,
Kel'el Ware,1642276,yes,,,
Keldon Johnson,1629640,yes,,,
Kelly Oubre Jr.,1626162,yes,,,
Kemba Walker,202689,yes,,,
Ken Norman,80,no,normake01,yes,
Kendall Gill,383,yes,,,
Kenneth Faried,202702,yes,,,
Kenny Anderson,72,no,anderke01,yes,
Kenny Thomas,1903,yes,,,
Kenyon Martin,2030,yes,,,
Kerry Kittles,954,yes,,,
Kevin Durant,201142,yes,,,
Kevin Garnett,708,yes,,,
Kevin Johnson,134,yes,,,
Kevin Love,201567,yes,,,
Kevin Martin,2755,yes,,,
Kevin McHale,1450,yes,,,
Kevin Porter Jr.,1629645,yes,,,
Kevin Willis,788,no,willike02,yes,
Keyonte George,1641718,yes,,,
Khris Middleton,203114,yes,,,
Kirk Hinrich,2550,yes,,,
Klay Thompson,202691,yes,,,
Kobe Bryant,977,yes,,,
Kon Knueppel,1642851,yes,,,
Kristaps Porzingis,204001,yes,,,
Kurt Thomas,703,no,thomaku01,yes,
Kyle Filipowski,1642271,yes,,,
Kyle Kuzma,1628398,yes,,,
Kyle Lowry,200768,yes,,,
