personId,firstName,lastName,gamesPlayed,points,assists,reboundsTotal,blocks,steals,turnovers,fieldGoalsAttempted,fieldGoalsMade,threePointersAttempted,threePointersMade,freeThrowsAttempted,freeThrowsMade,guard,forward,center,trueShootingAttempts,ts,fantasyPoints,br_id
203076,Anthony,Davis,528,24.009469696969692,2.238636363636364,10.382575757575758,2.393939393939394,1.3825757575757576,1.9375,17.28409090909091,8.909090909090908,1.503787878787879,0.4791666666666667,7.119318181818182,5.712121212121212,0,1,1,20.41659090909091,0.5879891947651011,54.17234848484848,
2544,LeBron,James,717,26.485355648535563,7.721059972105997,7.732217573221757,0.6624825662482566,1.4783821478382149,3.6569037656903767,18.658298465829848,9.854951185495118,4.336122733612274,1.5397489539748954,7.203626220362622,5.235704323570432,0,1,0,21.827894002789403,0.6066860056483456,50.91492329149232,
201566,Russell,Westbrook,714,24.97759103641457,8.698879551820728,7.578431372549019,0.3081232492997199,1.8445378151260503,4.256302521008403,19.99859943977591,8.836134453781513,4.166666666666667,1.2871148459383754,7.529411764705882,6.018207282913165,1,0,0,23.311540616246496,0.5357344554698146,49.491596638655466,
203954,Joel,Embiid,208,23.995192307692307,3.125,11.495192307692308,1.7932692307692308,0.7548076923076923,3.514423076923077,16.697115384615383,8.009615384615385,3.5913461538461537,1.1442307692307692,8.615384615384615,6.831730769230769,0,1,1,20.487884615384612,0.5855946760280466,49.08894230769232,
201142,Kevin,Durant,613,27.6884176182708,4.66231647634584,7.404567699836868,1.1892332789559543,1.0799347471451877,3.140293637846656,18.65415986949429,9.415986949429035,5.442088091353996,2.097879282218597,7.65742251223491,6.758564437194127,0,1,0,22.02342577487765,0.6286128666198532,48.58482871125612,
1626157,Karl-Anthony,Towns,358,22.66201117318436,2.7709497206703912,11.756983240223464,1.4608938547486034,0.776536312849162,2.525139664804469,16.036312849162012,8.55586592178771,3.575418994413408,1.4162011173184357,4.9748603351955305,4.134078212290503,0,1,1,18.225251396648044,0.6217201255548199,48.35335195530726,
1629029,Luka,Doncic,133,24.69924812030075,7.2706766917293235,8.541353383458647,0.2932330827067669,1.045112781954887,3.81203007518797,18.35338345864661,8.172932330827068,7.932330827067669,2.548872180451128,7.87218045112782,5.804511278195489,1,1,0,21.81714285714285,0.5660513909183645,46.14661654135338,
201935,James,Harden,756,26.6957671957672,6.756613756613756,5.554232804232805,0.5568783068783069,1.630952380952381,3.921957671957672,17.633597883597883,7.842592592592593,8.117724867724867,2.945767195767196,9.37962962962963,8.064814814814815,1,0,0,21.76063492063492,0.613395870413056,46.06944444444445,
202326,DeMarcus,Cousins,565,21.249557522123894,3.2424778761061948,10.85132743362832,1.2336283185840708,1.424778761061947,3.5398230088495577,16.451327433628318,7.580530973451327,1.8247787610619468,0.6053097345132743,7.442477876106195,5.483185840707964,0,0,1,19.726017699115044,0.5386175214442092,45.94424778761062,
203083,Andre,Drummond,599,14.475792988313856,1.2988313856427378,13.836393989983303,1.5659432387312189,1.3939899833055092,1.9565943238731216,11.285475792988311,6.111853088480801,0.1719532554257095,0.025041736227045,4.831385642737897,2.2270450751252087,0,0,1,13.411285475792988,0.5396870051883645,45.10517529215358,
203507,Giannis,Antetokounmpo,528,20.079545454545453,4.308712121212121,8.901515151515152,1.3106060606060606,1.1742424242424243,2.761363636363636,13.93371212121212,7.335227272727272,2.058712121212121,0.5852272727272727,6.678030303030303,4.823863636363637,0,1,0,16.872045454545454,0.5950536794320891,44.311553030303024,
1627732,Ben,Simmons,217,16.37327188940092,7.953917050691245,8.294930875576037,0.7557603686635944,1.7096774193548387,3.4654377880184333,12.004608294930875,6.723502304147465,0.1105990783410138,0.0092165898617511,4.917050691244239,2.91705069124424,1,1,0,14.16811059907834,0.5778212901043428,43.67741935483871,
101108,Chris,Paul,675,18.016296296296296,9.195555555555556,4.425185185185185,0.1511111111111111,2.0903703703703704,2.3362962962962963,13.36,6.271111111111111,4.234074074074074,1.586666666666667,4.394074074074074,3.887407407407408,1,0,0,15.293392592592593,0.5890222260109426,42.74074074074075,
201939,Stephen,Curry,618,24.3042071197411,6.713592233009709,4.533980582524272,0.2216828478964401,1.703883495145631,3.132686084142395,17.45631067961165,8.339805825242719,8.671521035598705,3.768608414239482,4.250809061488673,3.855987055016181,1,0,0,19.326666666666668,0.6287738992689142,42.61245954692557,
203999,Nikola,Jokic,379,17.04485488126649,5.530343007915567,9.643799472295514,0.6992084432717678,1.116094986807388,2.5277044854881265,12.506596306068602,6.556728232189974,2.712401055408971,0.9155672823218998,3.651715039577837,3.015831134564644,0,0,1,14.11335092348285,0.6038557027908229,42.01187335092349,
201933,Blake,Griffin,622,21.670418006430868,4.419614147909968,8.844051446945338,0.5160771704180064,0.8890675241157556,2.59967845659164,16.292604501607716,8.117363344051446,1.9662379421221865,0.6543408360128617,6.885852090032154,4.781350482315113,0,1,0,19.322379421221864,0.5607595610774039,41.9871382636656,
200746,LaMarcus,Aldridge,705,21.02269503546099,2.15886524822695,8.84822695035461,1.1617021276595745,0.7262411347517731,1.6709219858156028,17.116312056737588,8.421276595744681,0.7531914893617021,0.2397163120567376,4.770212765957447,3.9404255319148938,0,1,1,19.215205673758863,0.547032787272491,41.74326241134752,
2730,Dwight,Howard,623,16.20064205457464,1.3739967897271268,12.038523274478331,1.7463884430176566,0.9293739967897272,2.675762439807384,10.07223113964687,6.003210272873194,0.0786516853932584,0.0128410914927768,7.800963081861958,4.181380417335474,0,1,1,13.504654895666132,0.5998169586611833,41.67094703049759,
